Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status,Fabric & Care (product.metafields.custom.fabric_care)
silk-robe,,,,,,,,Size (Her),S,Size (Him),XL,SILK-ROBE-HERS-HIMXL,150,shopify,25,deny,manual,16000,,TRUE,TRUE,,
silk-robe,,,,,,,,Size (Her),M,Size (Him),S,SILK-ROBE-HERM-HIMS,150,shopify,25,deny,manual,16000,,TRUE,TRUE,,
silk-robe,,,,,,,,Size (Her),M,Size (Him),M,SILK-ROBE-HERM-HIMM,150,shopify,25,deny,manual,16000,,TRUE,TRUE,,
silk-robe,,,,,,,,Size (Her),M,Size (Him),L,SILK-ROBE-HERM-HIML,150,shopify,25,deny,manual,16000,,TRUE,TRUE,,
silk-robe,,,,,,,,Size (Her),M,Size (Him),XL,SILK-ROBE-HERM-HIMXL,150,shopify,25,deny,manual,16000,,TRUE,TRUE,,
silk-robe,,,,,,,,Size (Her),L,Size (Him),S,SILK-ROBE-HERL-HIMS,150,shopify,25,deny,manual,16000,,TRUE,TRUE,,
silk-robe,,,,,,,,Size (Her),L,Size (Him),M,SILK-ROBE-HERL-HIMM,150,shopify,25,deny,manual,16000,,TRUE,TRUE,,
silk-robe,,,,,,,,Size (Her),L,Size (Him),L,SILK-ROBE-HERL-HIML,150,shopify,25,deny,manual,16000,,TRUE,TRUE,,
silk-robe,,,,,,,,Size (Her),L,Size (Him),XL,SILK-ROBE-HERL-HIMXL,150,shopify,25,deny,manual,16000,,TRUE,TRUE,,
silk-pajama-set,Silk Pajama Set,"<p>Experience deep rest with our classic silk pajama set. Crafted from premium mulberry silk in an elegant sage green, with delicate piping details.</p>",Hestia,,Sleepwear,together,TRUE,Size (Her),XS,Size (Him),S,SILK-PAJAMA-SET-HERXS-HIMS,150,shopify,25,deny,manual,22500,,TRUE,TRUE,active,DUMMY: 100% mulberry silk. Dry clean or gentle cold hand wash. Do not tumble dry. Cool iron on reverse.
silk-pajama-set,,,,,,,,Size (Her),XS,Size (Him),M,SILK-PAJAMA-SET-HERXS-HIMM,150,shopify,25,deny,manual,22500,,TRUE,TRUE,,
silk-pajama-set,,,,,,,,Size (Her),XS,Size (Him),L,SILK-PAJAMA-SET-HERXS-HIML,150,shopify,25,deny,manual,22500,,TRUE,TRUE,,
silk-pajama-set,,,,,,,,Size (Her),XS,Size (Him),XL,SILK-PAJAMA-SET-HERXS-HIMXL,150,shopify,25,deny,manual,22500,,TRUE,TRUE,,
silk-pajama-set,,,,,,,,Size (Her),S,Size (Him),S,SILK-PAJAMA-SET-HERS-HIMS,150,shopify,25,deny,manual,22500,,TRUE,TRUE,,
silk-pajama-set,,,,,,,,Size (Her),S,Size (Him),M,SILK-PAJAMA-SET-HERS-HIMM,150,shopify,25,deny,manual,22500,,TRUE,TRUE,,
silk-pajama-set,,,,,,,,Size (Her),S,Size (Him),L,SILK-PAJAMA-SET-HERS-HIML,150,shopify,25,deny,manual,22500,,TRUE,TRUE,,
silk-pajama-set,,,,,,,,Size (Her),S,Size (Him),XL,SILK-PAJAMA-SET-HERS-HIMXL,150,shopify,25,deny,manual,22500,,TRUE,TRUE,,
silk-pajama-set,,,,,,,,Size (Her),M,Size (Him),S,SILK-PAJAMA-SET-HERM-HIMS,150,shopify,25,deny,manual,22500,,TRUE,TRUE,,
silk-pajama-set,,,,,,,,Size (Her),M,Size (Him),M,SILK-PAJAMA-SET-HERM-HIMM,150,shopify,25,deny,manual,22500,,TRUE,TRUE,,
silk-pajama-set,,,,,,,,Size (Her),M,Size (Him),L,SILK-PAJAMA-SET-HERM-HIML,150,shopify,25,deny,manual,22500,,TRUE,TRUE,,
silk-pajama-set,,,,,,,,Size (Her),M,Size (Him),XL,SILK-PAJAMA-SET-HERM-HIMXL,150,shopify,25,deny,manual,22500,,TRUE,TRUE,,
silk-pajama-set,,,,,,,,Size (Her),L,Size (Him),S,SILK-PAJAMA-SET-HERL-HIMS,150,shopify,25,deny,manual,22500,,TRUE,TRUE,,
silk-pajama-set,,,,,,,,Size (Her),L,Size (Him),M,SILK-PAJAMA-SET-HERL-HIMM,150,shopify,25,deny,manual,22500,,TRUE,TRUE,,
silk-pajama-set,,,,,,,,Size (Her),L,Size (Him),L,SILK-PAJAMA-SET-HERL-HIML,150,shopify,25,deny,manual,22500,,TRUE,TRUE,,
silk-pajama-set,,,,,,,,Size (Her),L,Size (Him),XL,SILK-PAJAMA-SET-HERL-HIMXL,150,shopify,25,deny,manual,22500,,TRUE,TRUE,,
silk-camisole,Silk Camisole,"<p>A romantic, delicate silk camisole featuring premium lace detailing. Designed with a flattering drape for versatile sleepwear styling.</p>",Hestia,,Sleepwear,women,TRUE,Size,S,,,SILK-CAMISOLE-S,150,shopify,25,deny,manual,6000,8000,TRUE,TRUE,active,DUMMY: 100% mulberry silk. Dry clean or gentle cold hand wash. Do not tumble dry. Cool iron on reverse.
silk-camisole,,,,,,,,Size,M,,,SILK-CAMISOLE-M,150,shopify,25,deny,manual,6000,8000,TRUE,TRUE,,
silk-camisole,,,,,,,,Size,L,,,SILK-CAMISOLE-L,150,shopify,25,deny,manual,6000,8000,TRUE,TRUE,,
silk-sleep-mask,Silk Sleep Mask,"<p>A padded silk sleep mask designed for light-blocking comfort and skin protection, ensuring a peaceful night's sleep.</p>",Hestia,,Accessories,together,TRUE,Size (Her),XS,Size (Him),S,SILK-SLEEP-MASK-HERXS-HIMS,150,shopify,25,deny,manual,2200,,TRUE,TRUE,active,DUMMY: 100% mulberry silk. Dry clean or gentle cold hand wash. Do not tumble dry. Cool iron on reverse.
silk-sleep-mask,,,,,,,,Size (Her),XS,Size (Him),M,SILK-SLEEP-MASK-HERXS-HIMM,150,shopify,25,deny,manual,2200,,TRUE,TRUE,,
silk-sleep-mask,,,,,,,,Size (Her),XS,Size (Him),L,SILK-SLEEP-MASK-HERXS-HIML,150,shopify,25,deny,manual,2200,,TRUE,TRUE,,
silk-sleep-mask,,,,,,,,Size (Her),XS,Size (Him),XL,SILK-SLEEP-MASK-HERXS-HIMXL,150,shopify,25,deny,manual,2200,,TRUE,TRUE,,
silk-sleep-mask,,,,,,,,Size (Her),S,Size (Him),S,SILK-SLEEP-MASK-HERS-HIMS,150,shopify,25,deny,manual,2200,,TRUE,TRUE,,
silk-sleep-mask,,,,,,,,Size (Her),S,Size (Him),M,SILK-SLEEP-MASK-HERS-HIMM,150,shopify,25,deny,manual,2200,,TRUE,TRUE,,
silk-sleep-mask,,,,,,,,Size (Her),S,Size (Him),L,SILK-SLEEP-MASK-HERS-HIML,150,shopify,25,deny,manual,2200,,TRUE,TRUE,,
silk-sleep-mask,,,,,,,,Size (Her),S,Size (Him),XL,SILK-SLEEP-MASK-HERS-HIMXL,150,shopify,25,deny,manual,2200,,TRUE,TRUE,,
silk-sleep-mask,,,,,,,,Size (Her),M,Size (Him),S,SILK-SLEEP-MASK-HERM-HIMS,150,shopify,25,deny,manual,2200,,TRUE,TRUE,,
silk-sleep-mask,,,,,,,,Size (Her),M,Size (Him),M,SILK-SLEEP-MASK-HERM-HIMM,150,shopify,25,deny,manual,2200,,TRUE,TRUE,,
silk-sleep-mask,,,,,,,,Size (Her),M,Size (Him),L,SILK-SLEEP-MASK-HERM-HIML,150,shopify,25,deny,manual,2200,,TRUE,TRUE,,
silk-sleep-mask,,,,,,,,Size (Her),M,Size (Him),XL,SILK-SLEEP-MASK-HERM-HIMXL,150,shopify,25,deny,manual,2200,,TRUE,TRUE,,
silk-sleep-mask,,,,,,,,Size (Her),L,Size (Him),S,SILK-SLEEP-MASK-HERL-HIMS,150,shopify,25,deny,manual,2200,,TRUE,TRUE,,
silk-sleep-mask,,,,,,,,Size (Her),L,Size (Him),M,SILK-SLEEP-MASK-HERL-HIMM,150,shopify,25,deny,manual,2200,,TRUE,TRUE,,
silk-sleep-mask,,,,,,,,Size (Her),L,Size (Him),L,SILK-SLEEP-MASK-HERL-HIML,150,shopify,25,deny,manual,2200,,TRUE,TRUE,,
silk-sleep-mask,,,,,,,,Size (Her),L,Size (Him),XL,SILK-SLEEP-MASK-HERL-HIMXL,150,shopify,25,deny,manual,2200,,TRUE,TRUE,,
silk-shorts,Silk Shorts,<p>Lightweight and smooth ivory silk shorts with an elasticated waistband. Offers premium comfort and clean aesthetic lines.</p>,Hestia,,Sleepwear,"men, women",TRUE,Size,S,,,SILK-SHORTS-S,150,shopify,25,deny,manual,4800,,TRUE,TRUE,active,DUMMY: 100% mulberry silk. Dry clean or gentle cold hand wash. Do not tumble dry. Cool iron on reverse.
silk-shorts,,,,,,,,Size,M,,,SILK-SHORTS-M,150,shopify,25,deny,manual,4800,,TRUE,TRUE,,
silk-shorts,,,,,,,,Size,L,,,SILK-SHORTS-L,150,shopify,25,deny,manual,4800,,TRUE,TRUE,,
organic-linen-set,Organic Linen Set,"<p>A breathable, sand-colored organic linen lounge set. Perfect for warm-weather relaxation and structured minimalist comfort.</p>",Hestia,,Loungewear,together,TRUE,Size (Her),XS,Size (Him),S,ORGANIC-LINEN-SET-HERXS-HIMS,150,shopify,25,deny,manual,9200,,TRUE,TRUE,active,"DUMMY: 100% organic linen. Machine wash cold, gentle cycle. Line dry. Warm iron while damp."
organic-linen-set,,,,,,,,Size (Her),XS,Size (Him),M,ORGANIC-LINEN-SET-HERXS-HIMM,150,shopify,25,deny,manual,9200,,TRUE,TRUE,,
organic-linen-set,,,,,,,,Size (Her),XS,Size (Him),L,ORGANIC-LINEN-SET-HERXS-HIML,150,shopify,25,deny,manual,9200,,TRUE,TRUE,,
organic-linen-set,,,,,,,,Size (Her),XS,Size (Him),XL,ORGANIC-LINEN-SET-HERXS-HIMXL,150,shopify,25,deny,manual,9200,,TRUE,TRUE,,
organic-linen-set,,,,,,,,Size (Her),S,Size (Him),S,ORGANIC-LINEN-SET-HERS-HIMS,150,shopify,25,deny,manual,9200,,TRUE,TRUE,,
organic-linen-set,,,,,,,,Size (Her),S,Size (Him),M,ORGANIC-LINEN-SET-HERS-HIMM,150,shopify,25,deny,manual,9200,,TRUE,TRUE,,
organic-linen-set,,,,,,,,Size (Her),S,Size (Him),L,ORGANIC-LINEN-SET-HERS-HIML,150,shopify,25,deny,manual,9200,,TRUE,TRUE,,
organic-linen-set,,,,,,,,Size (Her),S,Size (Him),XL,ORGANIC-LINEN-SET-HERS-HIMXL,150,shopify,25,deny,manual,9200,,TRUE,TRUE,,
organic-linen-set,,,,,,,,Size (Her),M,Size (Him),S,ORGANIC-LINEN-SET-HERM-HIMS,150,shopify,25,deny,manual,9200,,TRUE,TRUE,,
organic-linen-set,,,,,,,,Size (Her),M,Size (Him),M,ORGANIC-LINEN-SET-HERM-HIMM,150,shopify,25,deny,manual,9200,,TRUE,TRUE,,
organic-linen-set,,,,,,,,Size (Her),M,Size (Him),L,ORGANIC-LINEN-SET-HERM-HIML,150,shopify,25,deny,manual,9200,,TRUE,TRUE,,
organic-linen-set,,,,,,,,Size (Her),M,Size (Him),XL,ORGANIC-LINEN-SET-HERM-HIMXL,150,shopify,25,deny,manual,9200,,TRUE,TRUE,,
organic-linen-set,,,,,,,,Size (Her),L,Size (Him),S,ORGANIC-LINEN-SET-HERL-HIMS,150,shopify,25,deny,manual,9200,,TRUE,TRUE,,
organic-linen-set,,,,,,,,Size (Her),L,Size (Him),M,ORGANIC-LINEN-SET-HERL-HIMM,150,shopify,25,deny,manual,9200,,TRUE,TRUE,,
organic-linen-set,,,,,,,,Size (Her),L,Size (Him),L,ORGANIC-LINEN-SET-HERL-HIML,150,shopify,25,deny,manual,9200,,TRUE,TRUE,,
organic-linen-set,,,,,,,,Size (Her),L,Size (Him),XL,ORGANIC-LINEN-SET-HERL-HIMXL,150,shopify,25,deny,manual,9200,,TRUE,TRUE,,
waffle-knit-robe,Waffle Knit Robe,"<p>Wrap yourself in soft waffle knit texture. Crafted from premium organic cotton for a dry, cozy, and breathable feel.</p>",Hestia,,Robes,together,TRUE,Size (Her),XS,Size (Him),S,WAFFLE-KNIT-ROBE-HERXS-HIMS,150,shopify,25,deny,manual,6000,,TRUE,TRUE,active,DUMMY: 100% organic cotton waffle knit. Machine wash warm. Tumble dry low.
waffle-knit-robe,,,,,,,,Size (Her),XS,Size (Him),M,WAFFLE-KNIT-ROBE-HERXS-HIMM,150,shopify,25,deny,manual,6000,,TRUE,TRUE,,
waffle-knit-robe,,,,,,,,Size (Her),XS,Size (Him),L,WAFFLE-KNIT-ROBE-HERXS-HIML,150,shopify,25,deny,manual,6000,,TRUE,TRUE,,
waffle-knit-robe,,,,,,,,Size (Her),XS,Size (Him),XL,WAFFLE-KNIT-ROBE-HERXS-HIMXL,150,shopify,25,deny,manual,6000,,TRUE,TRUE,,
waffle-knit-robe,,,,,,,,Size (Her),S,Size (Him),S,WAFFLE-KNIT-ROBE-HERS-HIMS,150,shopify,25,deny,manual,6000,,TRUE,TRUE,,
waffle-knit-robe,,,,,,,,Size (Her),S,Size (Him),M,WAFFLE-KNIT-ROBE-HERS-HIMM,150,shopify,25,deny,manual,6000,,TRUE,TRUE,,
waffle-knit-robe,,,,,,,,Size (Her),S,Size (Him),L,WAFFLE-KNIT-ROBE-HERS-HIML,150,shopify,25,deny,manual,6000,,TRUE,TRUE,,
waffle-knit-robe,,,,,,,,Size (Her),S,Size (Him),XL,WAFFLE-KNIT-ROBE-HERS-HIMXL,150,shopify,25,deny,manual,6000,,TRUE,TRUE,,
waffle-knit-robe,,,,,,,,Size (Her),M,Size (Him),S,WAFFLE-KNIT-ROBE-HERM-HIMS,150,shopify,25,deny,manual,6000,,TRUE,TRUE,,
waffle-knit-robe,,,,,,,,Size (Her),M,Size (Him),M,WAFFLE-KNIT-ROBE-HERM-HIMM,150,shopify,25,deny,manual,6000,,TRUE,TRUE,,
waffle-knit-robe,,,,,,,,Size (Her),M,Size (Him),L,WAFFLE-KNIT-ROBE-HERM-HIML,150,shopify,25,deny,manual,6000,,TRUE,TRUE,,
waffle-knit-robe,,,,,,,,Size (Her),M,Size (Him),XL,WAFFLE-KNIT-ROBE-HERM-HIMXL,150,shopify,25,deny,manual,6000,,TRUE,TRUE,,
waffle-knit-robe,,,,,,,,Size (Her),L,Size (Him),S,WAFFLE-KNIT-ROBE-HERL-HIMS,150,shopify,25,deny,manual,6000,,TRUE,TRUE,,
waffle-knit-robe,,,,,,,,Size (Her),L,Size (Him),M,WAFFLE-KNIT-ROBE-HERL-HIMM,150,shopify,25,deny,manual,6000,,TRUE,TRUE,,
waffle-knit-robe,,,,,,,,Size (Her),L,Size (Him),L,WAFFLE-KNIT-ROBE-HERL-HIML,150,shopify,25,deny,manual,6000,,TRUE,TRUE,,
waffle-knit-robe,,,,,,,,Size (Her),L,Size (Him),XL,WAFFLE-KNIT-ROBE-HERL-HIMXL,150,shopify,25,deny,manual,6000,,TRUE,TRUE,,
cashmere-essential,Cashmere Essential,<p>An ultra-soft cashmere lounge piece in warm taupe. Designed as a sanctuary essential for cozy domestic living.</p>,Hestia,,Loungewear,"men, women",TRUE,Size,S,,,CASHMERE-ESSENTIAL-S,150,shopify,25,deny,manual,19500,,TRUE,TRUE,active,DUMMY: 100% grade-A cashmere. Hand wash cold with wool detergent. Dry flat away from sunlight.
cashmere-essential,,,,,,,,Size,M,,,CASHMERE-ESSENTIAL-M,150,shopify,25,deny,manual,19500,,TRUE,TRUE,,
cashmere-essential,,,,,,,,Size,L,,,CASHMERE-ESSENTIAL-L,150,shopify,25,deny,manual,19500,,TRUE,TRUE,,
linen-throw,Linen Throw,<p>A heavy-weight organic linen throw blanket in soft sage. Adds subtle natural texture to any cozy living space.</p>,Hestia,,Home,together,TRUE,Size (Her),XS,Size (Him),S,LINEN-THROW-HERXS-HIMS,150,shopify,25,deny,manual,7500,,TRUE,TRUE,active,"DUMMY: 100% organic linen. Machine wash cold, gentle cycle. Line dry. Warm iron while damp."
linen-throw,,,,,,,,Size (Her),XS,Size (Him),M,LINEN-THROW-HERXS-HIMM,150,shopify,25,deny,manual,7500,,TRUE,TRUE,,
linen-throw,,,,,,,,Size (Her),XS,Size (Him),L,LINEN-THROW-HERXS-HIML,150,shopify,25,deny,manual,7500,,TRUE,TRUE,,
linen-throw,,,,,,,,Size (Her),XS,Size (Him),XL,LINEN-THROW-HERXS-HIMXL,150,shopify,25,deny,manual,7500,,TRUE,TRUE,,
linen-throw,,,,,,,,Size (Her),S,Size (Him),S,LINEN-THROW-HERS-HIMS,150,shopify,25,deny,manual,7500,,TRUE,TRUE,,
linen-throw,,,,,,,,Size (Her),S,Size (Him),M,LINEN-THROW-HERS-HIMM,150,shopify,25,deny,manual,7500,,TRUE,TRUE,,
linen-throw,,,,,,,,Size (Her),S,Size (Him),L,LINEN-THROW-HERS-HIML,150,shopify,25,deny,manual,7500,,TRUE,TRUE,,
linen-throw,,,,,,,,Size (Her),S,Size (Him),XL,LINEN-THROW-HERS-HIMXL,150,shopify,25,deny,manual,7500,,TRUE,TRUE,,
linen-throw,,,,,,,,Size (Her),M,Size (Him),S,LINEN-THROW-HERM-HIMS,150,shopify,25,deny,manual,7500,,TRUE,TRUE,,
linen-throw,,,,,,,,Size (Her),M,Size (Him),M,LINEN-THROW-HERM-HIMM,150,shopify,25,deny,manual,7500,,TRUE,TRUE,,
linen-throw,,,,,,,,Size (Her),M,Size (Him),L,LINEN-THROW-HERM-HIML,150,shopify,25,deny,manual,7500,,TRUE,TRUE,,
linen-throw,,,,,,,,Size (Her),M,Size (Him),XL,LINEN-THROW-HERM-HIMXL,150,shopify,25,deny,manual,7500,,TRUE,TRUE,,
linen-throw,,,,,,,,Size (Her),L,Size (Him),S,LINEN-THROW-HERL-HIMS,150,shopify,25,deny,manual,7500,,TRUE,TRUE,,
linen-throw,,,,,,,,Size (Her),L,Size (Him),M,LINEN-THROW-HERL-HIMM,150,shopify,25,deny,manual,7500,,TRUE,TRUE,,
linen-throw,,,,,,,,Size (Her),L,Size (Him),L,LINEN-THROW-HERL-HIML,150,shopify,25,deny,manual,7500,,TRUE,TRUE,,
linen-throw,,,,,,,,Size (Her),L,Size (Him),XL,LINEN-THROW-HERL-HIMXL,150,shopify,25,deny,manual,7500,,TRUE,TRUE,,
